model,task,date,accuracy,macro_f1,majority_baseline,acc@1,acc@5,mrr,pearson_r,spearman_r
pubmedbert,entity_linking_bc5cdr_c,2026-04-04,,,,0.0,0.0,0.0,,
sapbert,entity_linking_bc5cdr_c,2026-04-05,,,,0.0,0.0,0.0,,
pubmedbert,entity_linking_bc5cdr_d,2026-04-04,,,,0.4500335345405768,0.5220210149787614,0.483268482145075,,
sapbert,entity_linking_bc5cdr_d,2026-04-05,,,,0.7209926224010731,0.8604963112005366,0.7800997342077154,,
pubmedbert,entity_linking_ncbi,2026-04-04,,,,0.2876884422110553,0.33668341708542715,0.31465861051288185,,
sapbert,entity_linking_ncbi,2026-04-05,,,,0.6067839195979899,0.7298994974874372,0.6638948711813033,,
pubmedbert,nli_nli4ct,2026-04-05,0.4694,0.4537,0.579,,,,,
sapbert,nli_nli4ct,2026-04-05,0.526,0.5133,0.579,,,,,
pubmedbert,sts_biosses,2026-04-05,,,,,,,0.5438,0.5499
sapbert,sts_biosses,2026-04-05,,,,,,,0.8826,0.8752
